n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,ccp_alpha,train_acc,val_acc,fit_seconds,completed_at,grid_index,grid_total
300,20.0,sqrt,5,4,,0.0,0.98640625,0.56875,1.583,2026-05-18T14:09:50.236655,777,1296
300,20.0,sqrt,2,4,,0.0,0.98640625,0.56875,1.598,2026-05-18T14:09:30.355799,765,1296
400,20.0,log2,2,4,,0.0,0.98359375,0.56875,0.95,2026-05-18T15:22:56.442823,1125,1296
400,20.0,log2,2,4,,0.0001,0.9825,0.56875,0.944,2026-05-18T15:22:57.470768,1126,1296
400,20.0,log2,5,4,,0.0,0.98359375,0.56875,0.951,2026-05-18T15:23:08.864062,1137,1296
400,20.0,log2,5,4,,0.0001,0.9825,0.56875,0.961,2026-05-18T15:23:09.908274,1138,1296
300,20.0,sqrt,2,4,,0.0001,0.98453125,0.5675,1.608,2026-05-18T14:09:32.144286,766,1296
300,20.0,sqrt,5,4,,0.0001,0.98453125,0.5675,1.595,2026-05-18T14:09:51.893492,778,1296
200,20.0,sqrt,2,1,,0.0,0.99984375,0.56625,1.234,2026-05-18T13:18:23.830994,433,1296
100,,sqrt,10,4,,0.0001,0.975625,0.56625,0.561,2026-05-18T12:53:49.179518,250,1296
200,,log2,5,4,,0.0001,0.98234375,0.56625,0.494,2026-05-18T13:34:37.943753,598,1296
200,20.0,sqrt,2,4,,0.0001,0.98375,0.56625,1.072,2026-05-18T13:18:34.160758,442,1296
300,,log2,2,1,,0.0001,0.99984375,0.56625,0.836,2026-05-18T14:33:02.714291,902,1296
300,,log2,2,1,,0.0,0.99984375,0.56625,0.815,2026-05-18T14:33:01.813000,901,1296
300,,sqrt,5,4,,0.0001,0.98359375,0.56625,1.6,2026-05-18T14:32:38.385381,886,1296
200,20.0,sqrt,5,4,,0.0001,0.98375,0.56625,1.073,2026-05-18T13:18:47.669308,454,1296
300,,sqrt,2,4,,0.0001,0.98359375,0.56625,1.603,2026-05-18T14:32:18.565850,874,1296
400,,sqrt,10,1,,0.0,0.9984375,0.56625,2.308,2026-05-18T15:52:34.376481,1213,1296
200,,log2,2,4,,0.0001,0.98234375,0.56625,0.494,2026-05-18T13:34:31.417180,586,1296
200,,log2,2,4,,0.0,0.98359375,0.565,0.482,2026-05-18T13:34:30.873618,585,1296
200,10.0,log2,5,1,,0.0,0.93546875,0.565,0.454,2026-05-18T13:05:31.856685,373,1296
200,,log2,5,4,,0.0,0.98359375,0.565,0.486,2026-05-18T13:34:37.399570,597,1296
200,20.0,sqrt,2,1,,0.0001,0.99984375,0.565,1.238,2026-05-18T13:18:25.207882,434,1296
400,,sqrt,10,1,,0.0001,0.9978125,0.565,2.302,2026-05-18T15:52:36.762579,1214,1296
300,,sqrt,2,4,,0.0,0.98546875,0.565,1.587,2026-05-18T14:32:16.902542,873,1296
300,,sqrt,5,4,,0.0,0.98546875,0.565,1.591,2026-05-18T14:32:36.724421,885,1296
300,,sqrt,10,1,,0.0001,0.9978125,0.565,1.734,2026-05-18T14:32:44.980989,890,1296
300,10.0,log2,5,1,,0.0,0.938125,0.565,0.648,2026-05-18T13:50:14.044152,697,1296
200,10.0,log2,5,1,,0.0001,0.9353125,0.56375,0.454,2026-05-18T13:05:32.378711,374,1296
200,,log2,2,1,,0.0,0.99984375,0.56375,0.565,2026-05-18T13:34:26.483485,577,1296
400,20.0,log2,5,2,,0.0,0.99921875,0.56375,1.017,2026-05-18T15:23:04.765540,1133,1296
200,,log2,2,1,,0.0001,0.99984375,0.56375,0.565,2026-05-18T13:34:27.100683,578,1296
400,,sqrt,2,1,,0.0001,0.99984375,0.56375,2.412,2026-05-18T15:51:44.484563,1190,1296
300,10.0,log2,5,1,,0.0001,0.9378125,0.56375,0.647,2026-05-18T13:50:14.751272,698,1296
400,,sqrt,5,4,,0.0001,0.984375,0.56375,2.107,2026-05-18T15:52:27.985032,1210,1296
400,,sqrt,5,4,,0.0,0.985625,0.56375,2.103,2026-05-18T15:52:25.794203,1209,1296
400,,sqrt,2,1,,0.0,0.99984375,0.56375,2.415,2026-05-18T15:51:41.982647,1189,1296
200,20.0,sqrt,5,4,,0.0,0.98484375,0.56375,1.079,2026-05-18T13:18:46.545955,453,1296
400,20.0,sqrt,10,2,256.0,0.0001,0.878125,0.56375,1.943,2026-05-18T15:22:38.569156,1112,1296
400,20.0,sqrt,10,2,256.0,0.0,0.878125,0.56375,1.939,2026-05-18T15:22:36.544029,1111,1296
400,,sqrt,10,2,256.0,0.0,0.878125,0.56375,1.945,2026-05-18T15:52:47.491813,1219,1296
300,20.0,log2,2,1,,0.0,0.99984375,0.56375,0.816,2026-05-18T14:10:15.299024,793,1296
300,20.0,sqrt,10,4,,0.0,0.97921875,0.56375,1.571,2026-05-18T14:10:09.776781,789,1296
400,,sqrt,10,2,256.0,0.0001,0.878125,0.56375,1.939,2026-05-18T15:52:49.512943,1220,1296
400,,sqrt,2,4,,0.0001,0.984375,0.56375,2.115,2026-05-18T15:52:01.811107,1198,1296
100,10.0,sqrt,10,1,256.0,0.0001,0.8625,0.56375,0.931,2026-05-18T12:29:55.909660,28,1296
100,10.0,sqrt,10,1,256.0,0.0,0.8625,0.56375,0.906,2026-05-18T12:29:54.792992,27,1296
400,,sqrt,2,4,,0.0,0.985625,0.56375,2.107,2026-05-18T15:51:59.612216,1197,1296
300,,log2,5,1,,0.0,0.99984375,0.56375,0.805,2026-05-18T14:33:11.260986,913,1296
200,20.0,sqrt,2,4,,0.0,0.98484375,0.56375,1.077,2026-05-18T13:18:33.039806,441,1296
200,,sqrt,10,1,,0.0,0.9975,0.56375,1.181,2026-05-18T13:34:13.767528,565,1296
200,,sqrt,5,2,,0.0,0.9990625,0.56375,1.169,2026-05-18T13:34:04.885776,557,1296
200,20.0,log2,2,4,,0.0,0.983125,0.5625,0.487,2026-05-18T13:19:08.033687,477,1296
300,,log2,5,1,,0.0001,0.99984375,0.5625,0.814,2026-05-18T14:33:12.138207,914,1296
200,20.0,sqrt,10,2,256.0,0.0001,0.87375,0.5625,1.001,2026-05-18T13:18:58.746487,464,1296
200,20.0,sqrt,10,2,256.0,0.0,0.87375,0.5625,0.996,2026-05-18T13:18:57.696791,463,1296
300,20.0,log2,5,4,,0.0,0.98390625,0.5625,0.716,2026-05-18T14:10:31.026571,813,1296
300,,sqrt,10,4,,0.0001,0.97734375,0.5625,1.579,2026-05-18T14:32:57.922915,898,1296
300,,sqrt,10,1,,0.0,0.99796875,0.5625,1.721,2026-05-18T14:32:43.186293,889,1296
300,20.0,log2,5,4,,0.0001,0.9828125,0.5625,0.713,2026-05-18T14:10:31.799984,814,1296
200,,sqrt,10,1,,0.0001,0.99734375,0.5625,1.167,2026-05-18T13:34:14.983827,566,1296
100,,sqrt,10,4,,0.0,0.97703125,0.5625,0.55,2026-05-18T12:53:48.591469,249,1296
200,,sqrt,2,4,,0.0,0.9846875,0.5625,1.085,2026-05-18T13:33:55.844071,549,1296
300,20.0,log2,2,1,,0.0001,0.99984375,0.5625,0.829,2026-05-18T14:10:16.192000,794,1296
300,20.0,sqrt,10,4,,0.0001,0.97765625,0.5625,1.574,2026-05-18T14:10:11.412057,790,1296
300,20.0,log2,2,4,,0.0,0.98390625,0.5625,0.731,2026-05-18T14:10:21.624287,801,1296
300,20.0,log2,2,4,,0.0001,0.9828125,0.5625,0.72,2026-05-18T14:10:22.405386,802,1296
200,,sqrt,5,4,,0.0,0.9846875,0.5625,1.08,2026-05-18T13:34:09.356464,561,1296
400,20.0,log2,5,2,,0.0001,0.99875,0.5625,1.034,2026-05-18T15:23:05.887344,1134,1296
200,,log2,5,1,,0.0,0.99984375,0.5625,0.544,2026-05-18T13:34:33.011295,589,1296
200,20.0,log2,5,4,,0.0,0.983125,0.5625,0.488,2026-05-18T13:19:14.501361,489,1296
400,20.0,sqrt,10,1,,0.0001,0.9975,0.5625,2.27,2026-05-18T15:22:25.875573,1106,1296
300,,log2,5,4,,0.0,0.98484375,0.5625,0.707,2026-05-18T14:33:17.589313,921,1296
300,,log2,2,4,,0.0,0.98484375,0.5625,0.716,2026-05-18T14:33:08.150642,909,1296
200,,sqrt,10,2,256.0,0.0,0.87375,0.5625,1.005,2026-05-18T13:34:20.512088,571,1296
200,,sqrt,10,2,256.0,0.0001,0.87375,0.5625,1.005,2026-05-18T13:34:21.565774,572,1296
100,20.0,sqrt,10,1,,0.0001,0.99578125,0.56125,1.028,2026-05-18T12:41:21.295349,134,1296
400,,log2,5,4,,0.0,0.984375,0.56125,0.952,2026-05-18T15:53:19.763473,1245,1296
400,10.0,log2,2,4,,0.0001,0.89953125,0.56125,0.842,2026-05-18T14:56:11.153438,1018,1296
300,20.0,sqrt,10,2,256.0,0.0,0.8778125,0.56125,1.464,2026-05-18T14:10:06.604969,787,1296
200,,sqrt,5,4,,0.0001,0.98390625,0.56125,1.079,2026-05-18T13:34:10.484920,562,1296
200,,log2,5,1,,0.0001,0.99984375,0.56125,0.552,2026-05-18T13:34:33.615987,590,1296
300,,sqrt,2,1,,0.0,0.99984375,0.56125,1.814,2026-05-18T14:32:03.600097,865,1296
400,,log2,2,2,,0.0,0.99984375,0.56125,1.032,2026-05-18T15:53:03.260547,1229,1296
400,,sqrt,5,1,,0.0001,0.99984375,0.56125,2.372,2026-05-18T15:52:10.702445,1202,1296
400,,sqrt,5,1,,0.0,0.99984375,0.56125,2.358,2026-05-18T15:52:08.245840,1201,1296
300,,sqrt,5,2,,0.0,0.999375,0.56125,1.736,2026-05-18T14:32:30.201292,881,1296
400,20.0,log2,5,1,,0.0001,0.99984375,0.56125,1.072,2026-05-18T15:23:01.674797,1130,1296
300,,sqrt,5,2,,0.0001,0.99890625,0.56125,1.729,2026-05-18T14:32:31.992319,882,1296
400,10.0,log2,2,4,,0.0,0.90109375,0.56125,0.841,2026-05-18T14:56:10.229232,1017,1296
400,20.0,log2,5,1,,0.0,0.99984375,0.56125,1.056,2026-05-18T15:23:00.514337,1129,1296
300,,sqrt,10,2,256.0,0.0,0.8778125,0.56125,1.475,2026-05-18T14:32:53.101427,895,1296
300,20.0,log2,5,2,,0.0,0.99921875,0.56125,0.777,2026-05-18T14:10:27.932278,809,1296
300,20.0,sqrt,2,1,,0.0,0.99984375,0.56125,1.802,2026-05-18T14:09:17.053532,757,1296
300,20.0,sqrt,2,1,,0.0001,0.99984375,0.56125,1.805,2026-05-18T14:09:18.925570,758,1296
300,,sqrt,10,2,256.0,0.0001,0.8778125,0.56125,1.469,2026-05-18T14:32:54.630917,896,1296
200,,sqrt,2,4,,0.0001,0.98390625,0.56125,1.08,2026-05-18T13:33:56.973470,550,1296
400,20.0,sqrt,2,1,,0.0,0.99984375,0.56125,2.381,2026-05-18T15:21:31.261905,1081,1296
400,20.0,sqrt,2,1,,0.0001,0.99984375,0.56125,2.4,2026-05-18T15:21:33.752013,1082,1296
400,,sqrt,10,2,,0.0,0.99234375,0.56125,2.235,2026-05-18T15:52:43.173708,1217,1296
300,,sqrt,2,1,,0.0001,0.99984375,0.56125,1.819,2026-05-18T14:32:05.484105,866,1296
400,10.0,log2,5,4,,0.0,0.90109375,0.56125,0.834,2026-05-18T14:56:21.410068,1029,1296
400,10.0,log2,5,4,,0.0001,0.89953125,0.56125,0.839,2026-05-18T14:56:22.330671,1030,1296
400,,log2,2,4,,0.0,0.984375,0.56125,0.945,2026-05-18T15:53:07.361029,1233,1296
300,20.0,sqrt,10,2,256.0,0.0001,0.8778125,0.56125,1.481,2026-05-18T14:10:08.145895,788,1296
300,,log2,2,4,,0.0001,0.98296875,0.56125,0.724,2026-05-18T14:33:08.935800,910,1296
400,20.0,sqrt,10,1,,0.0,0.9978125,0.56125,2.268,2026-05-18T15:22:23.521540,1105,1296
300,,log2,5,4,,0.0001,0.98296875,0.56125,0.72,2026-05-18T14:33:18.370223,922,1296
200,10.0,log2,10,1,,0.0,0.90359375,0.56,0.449,2026-05-18T13:05:37.794348,385,1296
400,,sqrt,10,2,,0.0001,0.991875,0.56,2.206,2026-05-18T15:52:45.463469,1218,1296
300,20.0,sqrt,10,1,,0.0001,0.99734375,0.56,1.732,2026-05-18T14:09:58.493568,782,1296
300,20.0,sqrt,10,1,,0.0,0.9978125,0.56,1.725,2026-05-18T14:09:56.700499,781,1296
400,20.0,sqrt,10,2,,0.0,0.99203125,0.56,2.197,2026-05-18T15:22:32.239809,1109,1296
300,,log2,2,2,,0.0001,0.99984375,0.56,0.789,2026-05-18T14:33:05.890506,906,1296
300,,sqrt,10,4,,0.0,0.9784375,0.56,1.591,2026-05-18T14:32:56.282817,897,1296
400,,log2,5,4,,0.0001,0.98328125,0.56,0.969,2026-05-18T15:53:20.816879,1246,1296
300,20.0,log2,5,2,,0.0001,0.99859375,0.56,0.778,2026-05-18T14:10:28.771765,810,1296
400,10.0,log2,10,4,,0.0001,0.89046875,0.56,0.846,2026-05-18T14:56:33.499366,1042,1296
200,10.0,log2,10,1,256.0,0.0001,0.8540625,0.56,0.443,2026-05-18T13:05:39.268425,388,1296
400,,log2,2,4,,0.0001,0.98328125,0.56,0.947,2026-05-18T15:53:08.392431,1234,1296
200,10.0,log2,10,1,256.0,0.0,0.8540625,0.56,0.445,2026-05-18T13:05:38.777445,387,1296
200,,sqrt,5,1,,0.0001,0.99984375,0.56,1.203,2026-05-18T13:34:01.550937,554,1296
200,,log2,2,2,,0.0,0.9996875,0.56,0.527,2026-05-18T13:34:28.714138,581,1296
300,,log2,5,2,,0.0,0.9990625,0.56,0.774,2026-05-18T14:33:14.487355,917,1296
300,10.0,log2,5,2,,0.0,0.92890625,0.56,0.65,2026-05-18T13:50:16.890409,701,1296
300,,log2,5,2,,0.0001,0.99859375,0.56,0.785,2026-05-18T14:33:15.336572,918,1296
200,,sqrt,10,4,,0.0,0.9784375,0.56,1.067,2026-05-18T13:34:22.682684,573,1296
200,,sqrt,5,1,,0.0,0.99984375,0.56,1.203,2026-05-18T13:34:00.298495,553,1296
200,20.0,log2,5,2,,0.0,0.99859375,0.56,0.525,2026-05-18T13:19:12.384671,485,1296
200,20.0,log2,5,2,,0.0001,0.99828125,0.56,0.528,2026-05-18T13:19:12.965152,486,1296
200,20.0,log2,2,1,,0.0001,0.99984375,0.56,0.56,2026-05-18T13:19:04.262825,470,1296
300,10.0,log2,5,2,,0.0001,0.9278125,0.56,0.655,2026-05-18T13:50:17.605509,702,1296
100,20.0,log2,5,2,,0.0001,0.9984375,0.56,0.577,2026-05-18T12:41:45.843384,162,1296
300,,log2,10,2,,0.0001,0.9903125,0.56,0.748,2026-05-18T14:33:24.613815,930,1296
200,20.0,sqrt,5,2,,0.0001,0.9984375,0.56,1.165,2026-05-18T13:18:43.309344,450,1296
200,20.0,sqrt,5,2,,0.0,0.99890625,0.56,1.158,2026-05-18T13:18:42.095593,449,1296
200,20.0,log2,2,1,,0.0,0.99984375,0.56,0.551,2026-05-18T13:19:03.649819,469,1296
200,20.0,sqrt,10,2,,0.0,0.99125,0.56,1.141,2026-05-18T13:18:55.467977,461,1296
200,,sqrt,5,2,,0.0001,0.9990625,0.56,1.161,2026-05-18T13:34:06.096807,558,1296
100,20.0,sqrt,10,1,,0.0,0.99578125,0.56,1.064,2026-05-18T12:41:20.107670,133,1296
300,10.0,log2,10,2,256.0,0.0,0.85859375,0.55875,0.644,2026-05-18T13:50:26.762872,715,1296
100,20.0,log2,5,4,,0.0,0.98171875,0.55875,0.564,2026-05-18T12:41:47.772516,165,1296
300,,log2,2,2,,0.0,0.99984375,0.55875,0.773,2026-05-18T14:33:05.037197,905,1296
100,10.0,sqrt,10,4,256.0,0.0,0.86078125,0.55875,0.832,2026-05-18T12:30:03.054527,35,1296
200,10.0,log2,10,1,,0.0001,0.90296875,0.55875,0.442,2026-05-18T13:05:38.284447,386,1296
400,,log2,5,1,,0.0,0.99984375,0.55875,1.064,2026-05-18T15:53:11.445802,1237,1296
400,10.0,log2,10,4,,0.0,0.8909375,0.55875,0.839,2026-05-18T14:56:32.571902,1041,1296
100,20.0,sqrt,10,2,,0.0001,0.99,0.55875,1.018,2026-05-18T12:41:25.872150,138,1296
300,10.0,log2,10,2,256.0,0.0001,0.85859375,0.55875,0.643,2026-05-18T13:50:27.465691,716,1296
400,20.0,sqrt,10,2,,0.0001,0.99171875,0.55875,2.199,2026-05-18T15:22:34.521979,1110,1296
400,20.0,sqrt,5,4,,0.0001,0.98484375,0.55875,2.093,2026-05-18T15:22:17.195443,1102,1296
300,,sqrt,5,1,,0.0001,0.99984375,0.55875,1.791,2026-05-18T14:32:25.272722,878,1296
400,10.0,log2,5,1,,0.0,0.9396875,0.55875,0.86,2026-05-18T14:56:13.926300,1021,1296
300,20.0,log2,10,1,,0.0001,0.9959375,0.55875,0.778,2026-05-18T14:10:34.943426,818,1296
100,10.0,sqrt,10,4,256.0,0.0001,0.86078125,0.55875,0.905,2026-05-18T12:30:04.102124,36,1296
400,,log2,2,2,,0.0001,0.99984375,0.55875,1.037,2026-05-18T15:53:04.386587,1230,1296
400,20.0,sqrt,2,4,,0.0001,0.98484375,0.55875,2.098,2026-05-18T15:21:51.089186,1090,1296
200,20.0,sqrt,10,2,,0.0001,0.9909375,0.55875,1.136,2026-05-18T13:18:56.652607,462,1296
100,20.0,log2,2,4,,0.0,0.98171875,0.55875,0.567,2026-05-18T12:41:39.402755,153,1296
100,20.0,sqrt,10,4,,0.0001,0.974375,0.55875,0.989,2026-05-18T12:41:30.359984,142,1296
400,10.0,log2,5,2,,0.0001,0.9296875,0.55875,0.864,2026-05-18T14:56:18.636539,1026,1296
300,20.0,log2,5,1,,0.0001,0.99984375,0.55875,0.807,2026-05-18T14:10:25.594846,806,1296
300,20.0,log2,5,1,,0.0,0.99984375,0.55875,0.804,2026-05-18T14:10:24.724534,805,1296
300,10.0,sqrt,10,4,256.0,0.0,0.86828125,0.5575,1.368,2026-05-18T13:50:03.376020,683,1296
100,20.0,sqrt,10,2,,0.0,0.9903125,0.5575,1.052,2026-05-18T12:41:24.688762,137,1296
400,20.0,sqrt,10,4,,0.0001,0.9765625,0.5575,2.089,2026-05-18T15:22:42.927303,1114,1296
100,20.0,sqrt,2,4,,0.0001,0.98375,0.5575,0.985,2026-05-18T12:41:03.193090,118,1296
100,20.0,sqrt,5,4,,0.0001,0.98375,0.5575,0.896,2026-05-18T12:41:16.794138,130,1296
400,20.0,log2,2,1,,0.0001,0.99984375,0.5575,1.099,2026-05-18T15:22:49.257611,1118,1296
400,20.0,sqrt,5,4,,0.0,0.9859375,0.5575,2.089,2026-05-18T15:22:15.019500,1101,1296
200,10.0,sqrt,10,1,256.0,0.0,0.86484375,0.5575,0.961,2026-05-18T13:05:16.393609,351,1296
200,10.0,sqrt,10,1,256.0,0.0001,0.86484375,0.5575,0.964,2026-05-18T13:05:17.418555,352,1296
400,,log2,10,2,,0.0,0.99109375,0.5575,0.989,2026-05-18T15:53:27.969086,1253,1296
400,,log2,5,1,,0.0001,0.99984375,0.5575,1.064,2026-05-18T15:53:12.598720,1238,1296
400,10.0,log2,5,1,,0.0001,0.93953125,0.5575,0.876,2026-05-18T14:56:14.884526,1022,1296
400,10.0,log2,5,2,,0.0,0.93046875,0.5575,0.858,2026-05-18T14:56:17.690192,1025,1296
300,,sqrt,5,1,,0.0,0.99984375,0.5575,1.779,2026-05-18T14:32:23.420637,877,1296
100,20.0,log2,5,4,,0.0001,0.98109375,0.5575,0.61,2026-05-18T12:41:48.562191,166,1296
300,10.0,sqrt,10,4,256.0,0.0001,0.86828125,0.5575,1.379,2026-05-18T13:50:04.815287,684,1296
200,,log2,10,4,,0.0,0.974375,0.5575,0.486,2026-05-18T13:34:43.816605,609,1296
200,20.0,sqrt,10,4,,0.0001,0.9765625,0.5575,1.068,2026-05-18T13:19:00.978409,466,1296
200,,log2,10,4,256.0,0.0,0.86359375,0.5575,0.448,2026-05-18T13:34:44.851511,611,1296
200,,log2,10,4,,0.0001,0.9728125,0.5575,0.488,2026-05-18T13:34:44.354039,610,1296
200,20.0,log2,10,4,256.0,0.0001,0.86375,0.5575,0.455,2026-05-18T13:19:22.442173,504,1296
100,20.0,log2,2,4,,0.0001,0.98109375,0.5575,0.535,2026-05-18T12:41:40.097592,154,1296
100,20.0,sqrt,10,2,256.0,0.0001,0.86828125,0.5575,0.914,2026-05-18T12:41:28.029671,140,1296
100,20.0,sqrt,10,4,,0.0,0.97703125,0.5575,0.983,2026-05-18T12:41:29.192370,141,1296
300,,log2,10,2,,0.0,0.99109375,0.5575,0.76,2026-05-18T14:33:23.804061,929,1296
100,20.0,sqrt,10,2,256.0,0.0,0.86828125,0.5575,0.905,2026-05-18T12:41:26.963677,139,1296
100,,sqrt,5,4,,0.0001,0.98328125,0.5575,0.574,2026-05-18T12:53:42.170617,238,1296
200,20.0,log2,10,4,256.0,0.0,0.86375,0.5575,0.439,2026-05-18T13:19:21.938424,503,1296
200,,log2,10,4,256.0,0.0001,0.86359375,0.5575,0.464,2026-05-18T13:34:45.364407,612,1296
200,10.0,log2,5,2,,0.0,0.9275,0.5575,0.452,2026-05-18T13:05:33.856764,377,1296
400,,log2,10,4,256.0,0.0,0.86671875,0.5575,0.874,2026-05-18T15:53:33.990216,1259,1296
400,,log2,10,4,256.0,0.0001,0.86671875,0.5575,0.872,2026-05-18T15:53:34.945222,1260,1296
100,,sqrt,10,2,,0.0001,0.99,0.5575,0.595,2026-05-18T12:53:46.907906,246,1296
100,,log2,2,1,,0.0,0.99984375,0.5575,0.3,2026-05-18T12:53:50.622729,253,1296
100,,sqrt,10,2,256.0,0.0001,0.86828125,0.5575,0.531,2026-05-18T12:53:48.014640,248,1296
100,,sqrt,10,2,256.0,0.0,0.86828125,0.5575,0.521,2026-05-18T12:53:47.456210,247,1296
100,,log2,2,1,,0.0001,0.99984375,0.5575,0.297,2026-05-18T12:53:50.948276,254,1296
100,,sqrt,2,4,,0.0001,0.98328125,0.5575,0.566,2026-05-18T12:53:35.103200,226,1296
200,10.0,log2,5,2,,0.0001,0.9271875,0.5575,0.451,2026-05-18T13:05:34.356047,378,1296
400,20.0,sqrt,2,4,,0.0,0.9859375,0.5575,2.106,2026-05-18T15:21:48.908047,1089,1296
100,10.0,log2,10,1,256.0,0.0001,0.8475,0.5575,0.615,2026-05-18T12:30:23.943534,64,1296
100,10.0,log2,10,1,,0.0,0.9003125,0.5575,0.557,2026-05-18T12:30:21.751956,61,1296
100,10.0,log2,10,1,,0.0001,0.90046875,0.5575,0.566,2026-05-18T12:30:22.453258,62,1296
100,10.0,log2,10,1,256.0,0.0,0.8475,0.5575,0.536,2026-05-18T12:30:23.158621,63,1296
300,20.0,sqrt,10,2,,0.0001,0.991875,0.5575,1.67,2026-05-18T14:10:05.080057,786,1296
300,20.0,sqrt,10,2,,0.0,0.99203125,0.55625,1.678,2026-05-18T14:10:03.349774,785,1296
400,10.0,sqrt,5,1,,0.0001,0.94578125,0.55625,1.906,2026-05-18T14:55:19.137446,986,1296
400,,log2,2,1,,0.0,0.99984375,0.55625,1.085,2026-05-18T15:52:59.002499,1225,1296
300,20.0,log2,2,2,,0.0,0.9996875,0.55625,0.773,2026-05-18T14:10:18.503290,797,1296
400,10.0,sqrt,5,1,,0.0,0.94578125,0.55625,1.902,2026-05-18T14:55:17.148920,985,1296
100,,log2,10,1,256.0,0.0,0.85609375,0.55625,0.251,2026-05-18T12:53:58.137972,279,1296
100,,sqrt,5,1,256.0,0.0001,0.8678125,0.55625,0.535,2026-05-18T12:53:38.616317,232,1296
100,,sqrt,5,1,256.0,0.0,0.8678125,0.55625,0.531,2026-05-18T12:53:38.053880,231,1296
200,,log2,2,2,,0.0001,0.999375,0.55625,0.539,2026-05-18T13:34:29.306166,582,1296
400,10.0,sqrt,10,2,,0.0,0.91609375,0.55625,1.87,2026-05-18T14:55:48.287585,1001,1296
400,10.0,sqrt,10,2,,0.0001,0.9159375,0.55625,1.872,2026-05-18T14:55:50.241399,1002,1296
400,,log2,10,2,,0.0001,0.99046875,0.55625,0.989,2026-05-18T15:53:29.042175,1254,1296
300,20.0,log2,10,1,,0.0,0.99609375,0.55625,0.765,2026-05-18T14:10:34.104695,817,1296
100,20.0,sqrt,5,4,,0.0,0.98484375,0.55625,0.968,2026-05-18T12:41:15.715168,129,1296
100,20.0,sqrt,2,4,,0.0,0.98484375,0.55625,0.996,2026-05-18T12:41:02.046990,117,1296
200,20.0,sqrt,10,1,,0.0001,0.9965625,0.55625,1.168,2026-05-18T13:18:52.150081,458,1296
300,,log2,10,4,,0.0001,0.9746875,0.55625,0.706,2026-05-18T14:33:27.614934,934,1296
200,20.0,log2,5,1,,0.0001,0.99984375,0.55625,0.559,2026-05-18T13:19:10.772034,482,1296
200,20.0,log2,5,4,,0.0001,0.981875,0.55625,0.493,2026-05-18T13:19:15.043482,490,1296
200,20.0,log2,2,4,,0.0001,0.981875,0.55625,0.488,2026-05-18T13:19:08.570531,478,1296
100,20.0,log2,10,2,256.0,0.0,0.85828125,0.55625,0.576,2026-05-18T12:41:55.207658,175,1296
